,comment,tokenized_comment,label,predicted_label,marks
50,ผมคนอ้วนนะ นั่งรถทัวร์พยายามนั่งริมทางเดินเพราะเราจะได้ไม่เบียดคนข้างๆ เบียดไปริมๆได้ แต่วันนึงดันมีคนอ้วนกว่านั่งริมทางเดิน อยากตบหัวมากตรงที่ๆ ทำไมนั่งริมหน้าต่างคือมึงเบียดเค้านะ สรุปเบียดกันสนุกสนาน มันหลับส่วนผมตื่นทั้งคืน...,"['คน', 'คน', 'คน', 'นั่ง', 'นั่ง', 'นั่ง', 'นั่ง', 'อ้วน', 'อ้วน', 'รถ']",,12,1
51,บ่อยเลย 5555 นั่งรถเมล ตัวอย่างหมี มาเบียดจนไม่ที่จะเขยิบ มันคงนึกว่าเราเกร็งสู้ ่ป่าววว กูไม่มีที่จะถอยแล้ว ลงรถมองผมตาขวางเลย พี่ไม่รู้ตัวเลยเน๊อะ ว่าเบียดเบียนคนอื่น อ้วนแล้วไม่หนักหัวใคร แต่มันเบียดที่ชาวบ้านเฟ้ย!!!!,"['คน', 'นั่ง', 'อ้วน', 'รถ', 'รถ', 'ตัว', 'ตัว', 'ผม', 'เบียด', 'เบียด']",,9,1
52,เราขึ้นรถตู้อ่ะ แล้วมีผู้ชายนั่ง มันซื้ดขี้มูก ตั้งแต่หน้า บิ๊กซีนครปฐม ถึง หมอชิต 170 กว่าครั้ง กุว่างเลยนั่งนับ 😌 เสียงมันเข้ามาในโซนประสาท นี่ต้องเอาเสื้อคลุมมาปิดจมูก กลัวติดหวัด,"['นั่ง', 'นั่ง', 'รถ', 'ตู้', 'อ่ะ', 'ติด', 'กลัว', 'หน้า', 'ชาย', 'กุ']",,5,1
53,นี่คือเหตุผลที่ผมไม่นั่งรถตู้เด็ดขาด ไม่ได้กลัวโดนเหยียดนะ แต่ไม่อยากเบียดผู้โดยสารคนอื่นเพราะนอกจากเราจะหงุดหงิดเพราะที่นั่งแคบแล้ว คนข้างๆเขาก็จะหงุดหงิดเราอีกด้วย,"['คน', 'คน', 'นั่ง', 'นั่ง', 'รถ', 'เหยียด', 'ผม', 'เบียด', 'โดน', 'ตู้']",,1,1
54,อยากให้พระเจ้าเสกให้โลกนี้มีแต่คนผอมหน้าตาพิมเดียวกันหมด หุ่นเท่ากันหมด พื้นฐาน ฐานะ ชีวิตเท่ากันหมดทั้งโลกจะได้ไม่ต้องมีเรื่องเหยียดกัน,"['คน', 'เหยียด', 'เรื่อง', 'ผอม', 'โลก', 'ชีวิต', 'โลก', 'หุ่น', 'ฐานะ']",,2,-1
55,ผมมองว่าถ้าจะนั่งแบบ เบียดคนอื่นขนาดมากๆๆ อย่างที่ยกตัวอย่างผมว่าควรจะจ่ายราคา2ที่นั่งไปเลยแล้วก็นั่งไป2เบาะนะปล.เรื่องที่จะเล่าต่อจากนี้ไม่เกี่ยวกับกระทู้นะ...คือผมนั่งรถตู้เนี้ยอหละแล้วทีนี้มีคนเค้าอยากนั่งสบายๆเค้าก็จ่ายราคา2ที่นั่งนะ แล้วพอคนขับ ขับๆไปก็ไปจอดรับผู้โดยสารมาเพิ่มไอตรงที่ๆคนนั้นเขาจ่ายนั่นแหละ ยังไงก็ระวังกันด้วยครับ,"['คน', 'คน', 'คน', 'คน', 'นั่ง', 'นั่ง', 'นั่ง', 'นั่ง', 'นั่ง', 'นั่ง']",,4,1
56,คงไม่ได้เจอบ่อยๆมั้งคะ ใจเขาใจเรา คนอ้วนก็คน เราก็ไปบอกให้เขาผอมไม่ได้ ถ้าเขาอยากผอมคงทำได้นานละ 50บาทคงเจอเขาแค่ครั้งเดียวแหละ ไม่ได้เจอเขาเบียดทุกวัน อยู่ในสังคมให้สันติ ก็เห็นใจคนอื่นบ้าง เอื้อเฟื้อกับคนที่ไม่พร้อมบ้าง คนอ้วนคือคนไม่พร้อมทางด้านร่างกาย ทำให้ผู้อื่นเกิดความรำคาญ เรื่องบางเรื่องถ้าไม่หนักหนาสาหัสก็ปล่อยไปบ้าง ถ้าโดนคนอ้วนเบียดทุกวันน่าคิด แต่คิดว่าคงจะไม่ได้เจอกันอีกแล้ว เอาน่าอย่าเก็บเอามาคิดเยอะ ไม่อ้วนให้รู้ไป บางคนเขาไม่ได้อยากเกิดมาอ้วนเพื่อเป็นภาระใคร คนป่วยแล้วอ้วนก็มี ถ้าคุณคิดว่าสงสารเขา ก็อย่าให้เป็นประเด็นเลย,"['คน', 'คน', 'คน', 'คน', 'คน', 'คน', 'คน', 'คน', 'คน', 'อ้วน']",,2,1
57,เข้าใจเลยอะผมอ้วนนั่งรถตู้จะพยายามนั่งที่นั่งคนเดียวไม่เบียดคนอื่น    เพราะกลัวคนคิดแบบคุณนี่แหละ  ขอโทษจริงๆ  จริงๆถ้ารู้ว่าคนนั่งข้างๆเป็นแบบนี้ผมก็จะถามว่าไม่พอใจบอกได้ผมไม่รีบ,"['คน', 'คน', 'คน', 'คน', 'นั่ง', 'นั่ง', 'นั่ง', 'นั่ง', 'อ้วน', 'รถ']",,2,1
58,กรูว่ากรูตัวขนาดนี้อ่ะใหญ่เเล้วนะ สูงด้วย เคยเจอคนนึงเเย่งนั่งรถเมล์ ตัวเท่ากรูยังกระเด็นเลยจ้า   เยดเข้!!!!,"['คน', 'รถ', 'ตัว', 'ตัว', 'เจอ', 'นึง', 'อ่ะ', 'ขนาด', 'เมล์', 'เเล้ว']",,9,1
59,ในฐานะ​ที่​เป็น​คน​อ้วน​ ผมสามารถตอบแทน​ได้ว่า เขาไม่ได้​คิด​ว่าคุณ​เหยียด​แน่ๆ​เพราะเขา​ก็ไม่ได้เหยียด​เหมือนกัน​ส่วนในเรื่อง​ค่าโดยสาร​ผมขอไม่ตอบ​เอาเป็นว่า​ผม​ขอไปขึ้น​ร​ถเมล์​แทน​ละ​กัน​,"['คน', 'อ้วน', 'รถ', 'เหยียด', 'ผม', 'ผม', 'ผม', 'เหมือน', 'เรื่อง', 'ค่า']",,3,1
60,เรามีตัวอย่าง 2 เหตุการณ์จะเล่าให้ฟังเรื่องแรก เพื่อนเราไปซื้อตุ๊กตาหมีพูห์ขนาดยักษ์จากราชบุรี เพื่อเตรียมไว้เป็นของขวัญรับปริญญาพี่สาว เค้าต้องเสียค่ารถทัวร์ 2 ที่นั่งเพื่อหมีพูห์ด้วย…See more,"['นั่ง', 'รถ', 'เรื่อง', 'เค้า', 'ซื้อ', 'ค่า', 'ขนาด', 'พี่', 'เพื่อน', 'ตัวอย่าง']",,14,-1
61,ถ้าใช้ตรรกะนี่ คนอ้วนนั่งวินมอเตอรไซค์ แพงกว่าคนปกติ สมมุติ 20 เป็น 30 เคยเป็นดราม่าเราโอเคกับบัญญัติไตรยางค์แนนี้มั้ย,"['คน', 'คน', 'นั่ง', 'อ้วน', 'ปกติ', 'โอเค', 'แพง', 'สมมุติ', 'ดราม่า']",,2,1
62,ลองดูหนังแล้วมีคนอ้วนนั่งหลังสิ เบาะสั่นทั้งเรื่องอะ ตอนแรกไม่เห็น โคตรโมโห เตะเบาะทำไมนักหนา พอหันไปกะจะวีน เห็นคนอ้วนนั่งตัวแน่นเบาะขาแน่นแล้วเขานั่งไม่สบายตัวเลยขยับบ่อยขาก็มาเตะโดนเบาะเรา สงสารก็สงสาร รำคาญก็รำคาญ เพราะโดนเตะเบาะทั้งเรื่องเลย,"['คน', 'คน', 'นั่ง', 'นั่ง', 'นั่ง', 'อ้วน', 'อ้วน', 'ตัว', 'ตัว', 'โดน']",,4,1
63,อ้วนแค่ไหนเรียกอ้วน สูง176หนักแปดสิบก็เบียดคนอื่นเพราะเป็นคนไหล่ใหญ่หลังใหญ่เด็กๆเป็นนักกีฬาว่ายน้ำอะเบื่อพวกตัวเล็กอะ รอดรัวซีกๆหัวผ่านติดหน้าอกสาดเอยยยย,"['คน', 'คน', 'อ้วน', 'อ้วน', 'ตัว', 'เบียด', 'ติด', 'หนัก', 'อะ', 'อะ']",,6,1
64,ขนาดตัวเองเป็นคนอ้วนที่เคยอ้วน 105กิโลกรัม ไปไหนมาไหนมักจะเกรงใจคนอื่นเขา เคยใช้บริการรถตู้ ต้องพยายามนั่งตัวลีบที่สุด และไม่กระดุกกระดิก กลัวคนข้างๆรำคาญตอนนี้ นน.ลดเหลือ 75 ก็ยังรู้สึกว่าตัวอ้วนและสร้างความรำคาญให้แก่คนอื่นอยู่ จึงมักจะเลี่ยงการเดินทางที่คนแออัด,"['คน', 'คน', 'คน', 'คน', 'คน', 'นั่ง', 'อ้วน', 'อ้วน', 'อ้วน', 'รถ']",,2,1
65,ไม่อยากคอมเม้นมากคงามเพราะตัวเองก็อ้วนแต่อย่างน้อยถ้ามีคนนั่งข้างเราเราก็จะหลบให้​ แบ่งให้เท่าๆกัน​ ทำไงก็ได้ให้เขานั่งเท่าเราอ่ะ,"['คน', 'นั่ง', 'นั่ง', 'อ้วน', 'ตัว', 'อ่ะ', 'คอมเม้น', 'แบ่ง', 'ทำไง']",,4,1
66,สมัยก่อนเราขึ้นรถตู้อ่ะ เราจะชอบไปคิวแรกๆ เพื่อที่จะได้นั่งตรงที่ริมหน้าต่างซ้ายที่เป็นเก้าอี้เดี่ยวๆแถวกลาง คือสวรรค์สำหรับคนนั่งรถตู้คนเดียวมาก เราไปถึงคนแรกเราได้นั่ง ก็ชอบมีผู้หญิง มาขอนั่งที่เรา อ้างว่าเมารถบ้าง ไม่สบายบ้าง ละให้เราไปนั่งข้างหลังซึ่งมันติดขาเรามากกก เราก็ยอมนะตอนนั้นยังเด็กอยู่ ถ้าเป็นตอนนี้คงมีสวนไปบ้าง ละสังเกตุนะคนที่มาขอส่วนมากจะคือผู้หญิงวัยทำงาน สาวออฟฟิศทั้งนั้นเลย,"['คน', 'คน', 'คน', 'คน', 'นั่ง', 'นั่ง', 'นั่ง', 'นั่ง', 'นั่ง', 'รถ']",,5,1
67,้เหยียดมาก ระวังตะคริวแดกนะคะ ใครอ้วนแล้วมีกลิ่นเปรี้ยวแนะนำ แป้งตราเต่าเหยียบโลกป๋องละ 39 แต่เราหาซื้อได้ในราคา 29 บาท รับหิ้ว สนใจทัก ib ค่ะ 5655,"['อ้วน', 'ซื้อ', 'กลิ่น', 'หา', 'ราคา', 'บาท', 'แดก', 'โลก', 'ระวัง', 'ตะคริว']",,0,-1
68,บางทีคนไทยเราก็ยังไม่เข้าใจสิทธิ​ กับ​ เหยียด​ อย่างจริงจังเช่น​ เราเข้าแถวต่อคิวซื้ออาหารไม่ยอมให้มีคนแซง​ แต่พอขับรถเจอพวกมาปาดเข้าคอสะพานเรากลับช่างเถอะถ้อยทีถ้อยอาศัย​ ทั้งที่มันคือการต่อคิวเหมือนกัน,"['คน', 'คน', 'รถ', 'เหยียด', 'เจอ', 'เหมือน', 'ซื้อ', 'ขับ', 'แถว', 'สิทธิ']",,14,1
69,เคยนั่งรอขึ้นเครื่องที่สนามบิน คนจีนตัวใหญ่มาก มาทีหลัง นั่งล้นมาเบียด แต่เอาจริงๆเราก็ไม่ได้อยากสัมผัสถูกตัวคนที่ไม่รู้จักป่าว จะอ้วน จะผอม ถ้ามันรบกวนก็ไม่โอเคทั้งนั้น,"['คน', 'คน', 'นั่ง', 'นั่ง', 'อ้วน', 'ตัว', 'ตัว', 'เบียด', 'ผอม', 'รอ']",,4,1
70,เนี่ยคือเหตุผลส่วนนึงที่ไม่ชอบคนอ้วนเลย ดูอึดอัดไปหมด นั่งรถก็เต็ม ไม่ชอบแต่ไม่ได้ไปตามด่าใครนะ ไม่ชอบของเราเองเงียบๆ ไม่เหยียดๆ ปล.แต่แฟนอ้วนนะก้ตอนแรกมันไม่อ้วน555,"['คน', 'นั่ง', 'อ้วน', 'อ้วน', 'อ้วน', 'รถ', 'เหยียด', 'นึง', 'ตอน', 'อึดอัด']",,6,1
71,เคยนะนั่งรถเมล์แอร์ เบาะคู่นั่งด้านใน สักพักผญ.ตัวใหญๆ มานั่งข้างๆ ผมนี่ปกติตัวก้เล็กอยุ่ละโดนเบียดติดกระจกเลยเพราะไม่งั้นก้นเค้าจะล้นเบาะไปด้านนอก,"['นั่ง', 'นั่ง', 'นั่ง', 'รถ', 'ตัว', 'ตัว', 'ผม', 'เบียด', 'เบาะ', 'เค้า']",,4,1
72,เคยรู้สึกและคิดแบบนี้เหมือนกัน ขึ้นรถเมล์บางครั้งนั่งเบาะด้านนอกไม่เต็มก้นต้องใช้ขาอีกข้างพยุงตัวไว้ ก็ไม่เชิงโกรธนะแค่คิดว่าเขาควรจ่ายค่าตั๋ว2ใบมั้ยหรือมีเบาะไซส์ใหญ่/ยาวบริการเสริม 🙏,"['นั่ง', 'รถ', 'ตัว', 'เบาะ', 'จ่าย', 'เหมือน', 'ขา', 'ค่า', 'รู้สึก', 'เมล์']",,4,-1
73,เจอเลยยยย ขึ้นรถตู้หน้าเซ็นฯ เวสเกต แล้วมีน้องนักศึกษาคนนึงเดินมา น้องเค้าอ้วนมากกกกก แล้วน้องเค้ามาเปิดประตู คนขับรีบล็อคประตูเลย ไม่ให้น้องขึ้น น้องก็พยายามเปิด เคาะกระจกรถก็แล้ว เรานั่งมองอยู่ กำลังจะเปิดประตูให้ คนขับบอกว่า อย่าเปิดนะ อ้วนจะตายห่า ที่นั่งก็แคบพอล่ะ ไปคันอื่นเหอะ!! พูดแบบนี้เลย สงสารก็สงสารนะ เพราะร้อนด้วย น้องยืนเหงื่อตกเลย เปิดให้ก็ไม่ได้ ทำใจได้แต่มอง😳😳😳😳,"['คน', 'คน', 'คน', 'นั่ง', 'นั่ง', 'อ้วน', 'อ้วน', 'รถ', 'รถ', 'เจอ']",,14,1
74,เอออีเหี้ย ปัญหาระดับชาติมากตอนกุกลับบ้านนี่เสี่ยงดวงสุดๆจะต้องนั่งติดคนอ้วนคนตัวใหญ่มั้ย อึดอัดมาก หรือบางทีรถไม่พอ บางคนต้องไปนั่งเบาะเสริมเล็กๆแคบๆ หรือนั่งซอกวางกระเป๋าข้างประตูรถตู้ติดหลังที่ข้างคนขับแต่ต้องจ่ายเท่าที่ปกติ อันนี้เหี้ยจริง เคยโดน,"['คน', 'คน', 'คน', 'คน', 'นั่ง', 'นั่ง', 'นั่ง', 'อ้วน', 'รถ', 'รถ']",,2,1
75,ซื้ิอรถโลด เพื่อคุณภาพชีวิตของตัวเอง ส่วน pm 2.5 ช่างมัน วู้.......ให้เห็นถึงความล้มเหลวของประเทศเรา ว่ามันไม่พัฒนาซ้ากกะที,"['รถ', 'ตัว', 'ชีวิต', 'ประเทศ', 'ช่าง']",,9,-1
76,เจอคนอ้วนยังพอว่าครับผมนั่งไปลงพัทยา​ เจอคนต่างชาตินั่งคุยโทรศัพท์​กับสาวตั้งแต่สำโรง​ คุยอย่างเดียวไม่ว่าแม่งนั่งแดกที่ซะเหลือเกินทั้งที่แม่งตัวเล็กกว่าผมอีก​ ไม่รู้จะถ่างเหี้ยไรนักหนา​ ผมก็พยายามดันแม่งเข้าไปที่เบาะของมัน​ กว่าแม่งจะลงโคตรอึดอัดอันนี้ก็ไม่ได้เหยียดนะ​ นั่งเบาะหลังสุดเหยียดไม่ได้เหมือนกัน,"['คน', 'คน', 'นั่ง', 'นั่ง', 'นั่ง', 'นั่ง', 'อ้วน', 'ตัว', 'เหยียด', 'เหยียด']",,3,1
77,เพิ่งเจอเมื่อวานซืนเลย คือหลับอยู่บนรถเมล์ ไม่เลยเบาะเขานะ จนมีคนนึงลุกไปละคนอ้วนเข้ามานั่งคือ100+โลได้ แบบมานั่งทับเนื้อขาด้านข้างเราเต็มๆอึดอัดมากอ่ะ เราเลยเขยิบออกมาเลยเบาะตัวเองด้านข้างอีกเพราะนั่งริมสุดืืเป็นรถเมล์แบบใหม่สีฟ้าน้ำเงินอ่ะ ที่เขยิบไม่ได้รังเกลียด แต่มันอึดอัดมากจริงๆ,"['คน', 'คน', 'นั่ง', 'นั่ง', 'นั่ง', 'อ้วน', 'รถ', 'รถ', 'ตัว', 'เจอ']",,4,1
78,อารมณ์คนอ้วนหาว่าตัวเองโดนเหยียดจากการที่วินมอไซค์เก็บเงินเพิ่มขึ้นนั่นแหละ คือมึงไม่มาขับมึงไม่เข้าใจหรอกว่า คนขับมอไซค์ที่มีคนอ้วน(มาก) ซ้อนท้ายมันขับลำบากแค่ไหน เขาไม่ได้เหยียดมึงเลย เขาจะเหยียดก็แค่ตอนส่งลงแล้ว ต้องเหยียดขาเพราะเขาเกร็งมาตลอดทางนั่นแหละ,"['คน', 'คน', 'คน', 'อ้วน', 'อ้วน', 'ตัว', 'เหยียด', 'เหยียด', 'เหยียด', 'เหยียด']",,1,1
79,เคยโดนค่ะ เข้าใจ และเข้าข้างด้วยค่ะยิ่งเดินทางระยะไกลๆยาวนาน บนรถตู้ รถทัวร์ ทรมานมากค่ะ โดนเบียดตลอดทาง แถมเค้าก็ตัวเปียกตลอดเวลา อยากจะไปขอนั่งข้างคนขับจริงๆให้ตายเถอะ,"['คน', 'นั่ง', 'รถ', 'รถ', 'ตัว', 'เบียด', 'โดน', 'โดน', 'ตู้', 'เค้า']",,9,1
80,เราก็คนตัวใหญ่ เข้าใจแหละ หนัก 120 สูง 186 คนอื่นอึดอัด เวลานั่งรถโดยสาร ถ้าคนไม่โล่งจริงก็แทบไม่นั่งเลย เพราะพอเรายืน คนตัวเล็กๆแม่งนั่งเบียดกันได้ 2 คนเลย เวลานั่งรถ บขส ก็นั่ง VIP อย่างเดียว เน้นเบาะใหญ่ ไม่เบียดใคร เราเองก็อึดอัดเวลาเบียดกับคนอื่นอะ ร้อนโว้ย แต่นั่นแหละ ให้ทำไงวะ ตัวขนาดนี้แล้ว ขี่ BB แม่งเลยละกัน คันเดียวไปทั่วประเทศ,"['คน', 'คน', 'คน', 'คน', 'คน', 'คน', 'นั่ง', 'นั่ง', 'นั่ง', 'นั่ง']",,2,1
81,เคยนั่งรถเมล์ที่เมกา แล้วเจอพี่มืดตัวใหญ่ 2 เมตร ตูดประมาณนั่งได้ 2 เบาะสบายๆ ตัวแม่งก็โคตรเหม็น เบียดสะถ้ากูทะลุกระจกไปโดนรถข้างหลังเหยียบตายได้มันคงทำไปแล้ว แถมพอมันเบียดเราเสร็จมีมาทำหน้าไม่พอใจเหมือนกูไปเบียดมันซะงั้น ไอ้ชิบหาย,"['นั่ง', 'นั่ง', 'รถ', 'รถ', 'ตัว', 'ตัว', 'เบียด', 'โดน', 'เจอ', 'เบาะ']",,7,1
82,ใจเย็นๆนะ ถ้ามองในอีกแง่นึง ค่าโดยสาร 50 บาทคือค่าจ้างในการพาเราจากสถานที่นึงไปยังอีกสถานที่นึง ทุกคนไปถึงที่หมายในราคา 50 ทั้งแอร์ทั้งเก้าอี้ก็เป็นส่วนหนึ่งในการบริการ มันเป็นความโชคร้ายที่เราอาจจะบังเอิญเจอผู้ร่วมใช้บริการที่ทำให้เรารู้สึกไม่สะดวกสบา… See more,"['คน', 'เจอ', 'ทำ', 'นึง', 'นึง', 'ค่า', 'ค่า', 'รู้สึก', 'โดยสาร', 'บาท']",,0,-1
83,เราเข้าใจ​ที่คุณว่าอึดอัด​นะ​ แต่​แก เราว่าเขาก็​ไม่ได้​สบาย​ใจที่ทำให้​แกอึดอัด​หรอก คิดว่า​ถ้า​เขา​เลือก​ได้​เขาคงไม่อยากเบียดใคร ไม่อยาก​ให้​ใครมารำคาญเขาหรอกมั้ง หรือมีรายละเอียด​อะไร​ที่​ดู​เหมือน​เขาจงใจทำตัวสบายเกินเหตุรึเปล่า​,"['ตัว', 'ทำ', 'ทำ', 'เหมือน', 'หรอก', 'หรอก', 'อึดอัด', 'อึดอัด', 'ดู', 'รำคาญ']",,7,1
84,โลกมันมีมุมที่ไม่เเฟร์กับคนทุกคนเเหละครับ ถ้าเก็บเอามาเป็นปัญหามันก็คือปัญหาทั้งหมด เเต่ถ้าวางลงบ้าง มันก็ดีกับเราครับถ้าเรามองว่าคนอ้วนกินที่คือไม่เเฟร์ มันก็ใช่ครับถ้าเราเจอพี่ที่ทำงาน เเล้วเรารู้สึกว่างานเค้าเบากว่าน้อยกว่าเเต่เงินเดือนมากกว่าคือไม่เเฟร์ นั่นก็ใช่อีกครับถ้าเคยเข้ายิมเเล้วไปยืนรอพวกกล้ามปูเล่นเครื่องชิ้นนั้นนานๆ ทั้งที่จ่ายค่าสมาชิกเท่ากันว่ามันไม่เเฟร์ นี่ก็ใช่ครับเวลาไปกินข้าวกับเพื่อนเเล้วสั่งอาหารเเบบเดียวกัน คนขายทำมาให้ทีเดียวเเต่ตักให้เราดูน้อยกว่า ถ้าจะมองว่านี่ก็ไม่เเฟร์ มันก็ใช่อีกเเหละครับเคยรอเเท็กซี่อยู่ เเต่อยู่ดีๆก็มีคนมายืนเรียกก่อนจะถึงเราห่างไป10เมตรมั้ยครับ ใช่ครับนี่ก็ไม่เเฟร์พอถึงจุดนึง เราโทษเเม้กระทั่งโชคชะตา ว่ามันก็ไม่เเฟร์ครับคิดเอาเเล้วกันครับ ว่าจะอยู่กับโลกใบนี้ยังไงให้มีความสุข🙏🏻,"['คน', 'คน', 'คน', 'คน', 'คน', 'อ้วน', 'เจอ', 'ทำ', 'ทำ', 'จ่าย']",,2,1
85,เราก็โดน บ่อยมาก เซงมากกกก (เราตัวเล็ก😭) แต่แต่เราไม่ได้ว่าอะไรเพราะคิดว่าอยากสบาย เหยียดๆก้ไปจ้างรถส่วนตัวจ่ะจบ,"['รถ', 'ตัว', 'ตัว', 'เหยียด', 'โดน', 'จบ', 'ก้', 'เซง', 'จ้าง', 'จ่ะ']",,12,1
86,มองได้หลายทาง เหมือนถามว่าทำไมไม่มี ทางให้รถมอร์เตอร์ไซด์ หรือห้ามขึ้นสะพาน การจัดการส่วนหนึ่งการมัดโหลลงค่าใช้จ่ายส่วนหนึ่ง การไม่คิดถึงความปลอดภัยของทุกฝ่ายก็ส่วนนึงแต่เชื่อเหอะคนอ้วนก็คงรู้สึกอึดอัดกับเบาที่เล็กไม่ต่างกัน,"['คน', 'อ้วน', 'รถ', 'นึง', 'เหมือน', 'ค่า', 'รู้สึก', 'อึดอัด', 'ถาม', 'ห้าม']",,6,-1
87,ส่วนตัวผมว่าไม่เกี่ยวอะไรกับการเหยียดครับ ในเมื่อเกิดความเดือดร้อนกับผู้อื่นขึ้นมา ก็ต้องหาวิธีแก้ไขปัญหาตรงนี้ครับ,"['ตัว', 'เหยียด', 'ผม', 'ปัญหา', 'หา', 'เดือดร้อน', 'วิธี', 'เกี่ยว']",,3,1
88,เบาะโรงหนังบางแห่งด้วยครับ เข้าใจว่าแค่พิงหลังชนพนักพิง แต่ด้วยน้ำหนักตัวของเขามันเกินเบาะจะรับได้  แทบจะทับขาผมล่ะ,"['ตัว', 'ผม', 'เบาะ', 'ขา', 'น้ำหนัก', 'แทบ', 'หนัง', 'ทับ', 'ล่ะ']",,3,1
89,ก็เข้าใจความรู้สึกของคนตัวใหญ่นะ แต่ส่วนมากโชเฟอร์ชอบจัดที่นั่งให้เอง เพราะขึ้นกลางทาง บางทีคนเยอะจัดก็ให้นั่งเบียด เบาะเสริม บลาๆ,"['คน', 'คน', 'นั่ง', 'ตัว', 'เบียด', 'รู้สึก', 'ชอบ', 'กลาง', 'เบาะเสริม']",,2,1
90,ตปท. เคยมีคนฟ้องสายการบิน ว่าจัดที่นั่งของเธอติดกับคนอ้วน ทำให้เธออึดอัดไม่สบายตัว แล้วเธอก็ชนะคดีด้วยผมไม่ได้เหยียดนะครับ,"['คน', 'คน', 'นั่ง', 'อ้วน', 'ตัว', 'เหยียด', 'ผม', 'ทำ', 'อึดอัด', 'บิน']",,2,1
91,ในซอยผม วินเก็บ 18บาท แต่ผมให้ยี่สิบบอกไม่ต้องทอนเพราะผมอ้วน เวลาขึ้นรถตู้ ขั่วโมงไม่งเร่งด่วน คนรอไม่เยอะ ผมจะนั่งข้างคนขับ แล้วจ่ายสองที่,"['คน', 'คน', 'นั่ง', 'อ้วน', 'รถ', 'ผม', 'ผม', 'ผม', 'ผม', 'จ่าย']",,3,1
92,ถ้าสมมติว่าคนตัวใหญ่ที่เค้าเล่ายอมจ่าย2ที่ และเป็นคนสุดท้ายที่ขึ้นรถตู้คันนี้ ทำให้คนที่มาบ่นคนนี้ต้องรอรถตู้คันต่อไป เหตุการณ์นี้จะออกมาแบบไหนคะ คนที่มาบ่นเรื่องโดนนั่งเบียดก็จะมาบ่นเรื่องเสียสิทธิขึ้นคันแรกอีกไหมคะ บางครั้งบางเรื่องก็ปล่อยผ่านบางเถอะคะ บางคนเค้าอาจไม่ได้อยากอ้วนแต่เค้าอาจจะป่วยทำให้เค้าอ้วน แค่นี้เค้ากะลำบากในการใช้ชีวิตมากแล้ว,"['คน', 'คน', 'คน', 'คน', 'คน', 'คน', 'นั่ง', 'อ้วน', 'อ้วน', 'รถ']",,2,1
93,ผมเหยียดคนผอมบ้างได้ไหม อีกระดูกบางงงง แตะนิดแตะหน่อยเหมือนกระดูกจะหัก เดินๆไประวังล้มนะขี้เกียจช่วยประกอบใหม่,"['คน', 'เหยียด', 'ผม', 'เหมือน', 'ผอม', 'ไหม', 'เดิน', 'ขี้', 'ระวัง']",,3,1
94,โถ เพื่อนเอยคราวหลังก็แกก็จ่ายสองเบาะซะสิ จะได้มีพื้นที่กว้างๆ หรืออีกทางนึงมึงแดกให้ตัวมึงอ้วนเท่าบักนั่นแล้วมึงก็ไม่จำเป็นต้องไปพึ่งวิธีแรกก็ได้แล้ว แถมไม่ต้องไปนั่งเหยียดเขาอีก เฮ้อ....,"['นั่ง', 'อ้วน', 'ตัว', 'เหยียด', 'เบาะ', 'จ่าย', 'นึง', 'สอง', 'สิ', 'พื้นที่']",,4,-1
95,ไม่มีคัยอยากอ้วน หรอก เชื่อดิ กุก้อ1 ในนั้น พยายาม ลดแล้ว แม้งก้อไม่ลง จะทำกุทำงัย แต่ดีหน่อย กุขับ มอไซ ไม่เดือดร้อนคัย ชิวๆ,"['อ้วน', 'ทำ', 'ดี', 'หรอก', 'ลด', 'เดือดร้อน', 'แม้ง', 'มอไซ']",,7,1
96,ผมก็อ้วนเป็นคนก้นใหญ่นะ เวลานั่งเป็นไปได้จะนั่งริมแล้วบีบขาและไขมันเท่าที่จะทำได้ เอนตัวดันไปข้างกำแพง ขาสองข้างแนบสนิทตลอด ส่วนตัวผมว่ามันจิตสำนึกส่วนนึงด้วยนะ แต่ก็แล้วแต่กรณีขนาดตัวแต่ละคนไป,"['คน', 'คน', 'นั่ง', 'นั่ง', 'อ้วน', 'ตัว', 'ตัว', 'ตัว', 'ผม', 'ผม']",,3,1
97,เพิ่งเจอแบบนี้บนรถไฟ JR ที่ญี่ปุ่น คือ จอง Reserved Seat มาเจอนักท่องเที่ยวเหมือนกันที่ตัวใหญ่เกิน 100 kgs ชัวร์ๆ เค้าก็คงรู้ตัวแหละ เกรงใจขยับให้ แต่มันก็ขยับไปไหนไม่ได้หรอก นั่งเบียดกันไป,"['นั่ง', 'ตัว', 'ตัว', 'เบียด', 'เจอ', 'เจอ', 'เหมือน', 'เค้า', 'รู้', 'หรอก']",,12,1
98,ประเทศเรายังไม่มีระเบียบถึงขั้นนั้น พวกยุโรป อเมริกา นน. เกิน จนต้องใช้ 2 ที่นั่งต้องจ่ายค่าตั๋วเป็น2ที่ด้วย,"['นั่ง', 'จ่าย', 'ค่า', 'ตั๋ว', 'ประเทศ']",,4,-1
