comment,tokenized_comment,predicted_label,marks
เห็นด้วยกับสิ่งที่คุณหมอพูดมาทั้งหมดค่ะ แต่ความหวังที่จะให้ผู้ใหญ่ในรัฐบาลทำตามนั้นคงริบหรี่ค่ะ ไม่เคยเข้าใจเลยทำไมเราต้องปรับการเปิดปิดภาคเรียนตามอาเซียน การรณรงค์ให้คนใส่หน้ากากอนามัยก็น้อยเหลือเกิน ยังบอกว่าสถานการณ์ยังไม่วิกฤตอีก คือไม่รู้ว่าแค่ไหนถึงจะวิกฤต คงต้องรอให้มีผลกระทบกับลูกหลานคนใหญ่คนโตในประเทศก่อนนะคะถึงจะเริ่มทำอะไรสักอย่าง,"['หมอ', 'หวัง', 'รัฐบาล', 'ทำ', 'เรียน', 'อาเซียน', 'รณรงค์', 'คน', 'ใส่', 'หน้า', 'กาก', 'สถานการณ์', 'วิกฤต', 'รู้', 'วิกฤต', 'รอ', 'กระทบ', 'ลูกหลาน', 'ประเทศ', 'ทำ', 'สัก']",1,1
ตลกร้ายค่ะคุณหมอ เมื่อวานนี่เห็นมีคนแชร์โพสขอความร่วมมือประชาชนแจ้งพบรถเมล์ควันดำ....ถามจริง? ถ้าระบบฟี๊ดแบคมันใช้ได้ผลจริง ป่านนี้คนขับรถเมลซิ่งน่าจะหมดประเทศแล้ว ขนาดมาตรการภายในองค์กรยังห่วยเลย,"['ตลก', 'ร้าย', 'หมอ', 'วาน', 'คน', 'แชร์', 'ประชาชน', 'แจ้ง', 'รถ', 'เมล์', 'ควัน', 'ดำ', 'ถาม', 'ระบบ', 'ป่าน', 'คน', 'ขับ', 'รถ', 'ประเทศ', 'ขนาด', 'มาตรการ', 'ห่วย']",2,1
อย่าลืมโรงงานเถื่อนครับ ไล่มาตั้งแต่ สมุทรปราการ เอกชัย อ้อมน้อย อ้อมใหญ่ มีเป็นพันครับผม รั้วสูง ทึบ ไม่มีป้ายชื่อ และ ทำงานเฉพาะกลางคืน,"['อย่า', 'โรง', 'งาน', 'พัน', 'ผม', 'ป้าย', 'ชื่อ', 'ทำ', 'งาน', 'กลาง', 'คืน']",1,1
จริงๆแล้วแก้ปัญหาระยะสั้นง่ายนิดเดียวให้หยุดงานสักห้าวันติดต่อกันเหมือนวันหยุดยาวให้คนต่างจังหวัดกลับบ้านไปเที่ยวใช้เงินกรุงเทพก็จะไม่มีรถโดยอัตโนมัติ,"['แก้', 'ปัญหา', 'หยุด', 'งาน', 'สัก', 'ติดต่อ', 'เหมือน', 'หยุด', 'คน', 'จังหวัด', 'บ้าน', 'เที่ยว', 'เงิน', 'กรุงเทพ', 'รถ']",2,1
ตอนนี้ รร ก้อสั่งหยุดคะ อยู่ในเขตที่เป็นพื้นสีแดงคะ ผปค ทุกคนให้ความร่วมมือ ผอ รรสั่งซื้อเครื่องฟอกอากาศ งดกิจกรรมกลางแจ้ง ล่าสุดอาจมีนโยบายให้มา รรสายขึ้นเพื่อ เลี่ยงฝุ่น ตอนเช้าคะ ผปค เตรียมผ้าปิดปากให้เด็กๆทุกวัน นี่คือสิ่งที่ประชาชนร่วมกันทำเพื่อช่วยตัวเองจากสถานการณ์ตอนนี้ รัฐบาลควรเล็งเห็นความสำคัญคะ,"['ตอน', 'รร', 'ก้อ', 'สั่ง', 'หยุด', 'เขต', 'สี', 'แดง', 'คน', 'รร', 'สั่ง', 'ซื้อ', 'เครื่อง', 'ฟอก', 'อากาศ', 'งด', 'กิจกรรม', 'กลาง', 'แจ้ง', 'นโยบาย', 'เลี่ยง', 'ฝุ่น', 'ตอน', 'เช้า', 'เตรียม', 'ผ้า', 'เด็ก', 'ประชาชน', 'ทำ', 'ตัว', 'สถานการณ์', 'ตอน', 'รัฐบาล']",1,1
ถ้าทุกคนรับฟัง และร่วมมือกันถ้วนหน้าคงจะดีนะคะ ที่คุณหมอเสนอมาล้วนดี แต่บางเรื่องดูไม่ง่ายในทางปฏิบัติเลยค่ะ,"['คน', 'รับฟัง', 'ดี', 'หมอ', 'เสนอ', 'ดี', 'เรื่อง', 'ดู']",3,1
นักเรียน ควรนั่งรถรับส่งของโรงเรียน ไปด้วยกันกลับด้วยกัน มีครูดูแล อย่างเพียงพอ ให้ได้มาตรฐานความปลอดภัย เพราะ ตอนนี้ นักเรียน 1 คน รถ1คัน หรือ ระยะยาว กศ. ควร พัฒนา ทุก รร. ให้ได้มาตรฐาน ไม่มีความเลื่อมล้ำ เด็กๆจะได้เรียน รร. ใกล้ๆบ้าน คุณภาพชีวิต ก็ดีขึ้นมาก,"['เรียน', 'นั่ง', 'รถ', 'โรง', 'เรียน', 'ครู', 'ดูแล', 'มาตรฐาน', 'ปลอด', 'ภัย', 'ตอน', 'เรียน', 'คน', 'รถ', 'คัน', 'รร', 'มาตรฐาน', 'เด็ก', 'เรียน', 'รร', 'บ้าน', 'คุณภาพ', 'ชีวิต', 'ดี']",2,1
อันตรายจากฝุ่นมันเป็นปัญหาสุขภาพระยะยาว คนส่วนใหญ่ถึงไม่เห็นความสำคัญ ไม่รักตัวเองก็ไม่ได้ว่าอะไร แต่อย่าไปตำหนิหรือเห็นคนใส่แมสเป็นเรื่องตลก มันเป็นสิทธิ์ที่จะป้องกันตัวเอง  ส่วนใครไม่ใส่ก็ ไม่เป็นไร ปล่อยให้เป็น natural selection,"['อันตราย', 'ฝุ่น', 'ปัญหา', 'สุขภาพ', 'คน', 'รัก', 'ตัว', 'อย่า', 'ตำหนิ', 'คน', 'ใส่', 'แมส', 'เรื่อง', 'ตลก', 'ป้องกัน', 'ตัว', 'ใส่', 'ปล่อย']",6,1
นอกจากการหายใจ ตอนนี้เริ่มแสบตา ระคายเคืองตา  แล้วก็คันที่ผิวหนังบ่อยขึ้นค่ะ ไม่รู้เราคิดไปเองไหม แต่ปกติผิวหนังไม่เคยแพ้อะไรเลย,"['หายใจ', 'ตอน', 'แสบ', 'ตา', 'ระคายเคือง', 'ตา', 'คัน', 'รู้', 'ไหม', 'ปกติ', 'แพ้']",0,-1
เห็นด้วยค่ะคุณหมอ โดยเฉพาะการปิดโรงเรียนในช่วงนี้จำเป็นมากกับเด็กที่โรงเรียนไม่มีแอร์ สงสารเด็กมาก ถึงจะเข้าเรียนในอาคารก็จริงแต่ก็ต้องเปิดหน้าต่างอยู่ดี สุดท้ายก็หายใจเอาฝุ่นเข้าเต็มๆ อย่างของโรงเรียนลูกสาวดีหน่อยงดเข้าแถวไปเลย เวลาเรียนห้องแอร์ก็ยังช่วยได้ระดับนึง แถมโรงเรียนมีป้ายปิดงดให้นักเรียนเล่นกลางแจ้งอีกด้วย,"['หมอ', 'โรง', 'เรียน', 'เด็ก', 'โรง', 'เรียน', 'แอร์', 'สงสาร', 'เด็ก', 'เรียน', 'อาคาร', 'หน้าต่าง', 'อยู่ดี', 'สุดท้าย', 'หายใจ', 'ฝุ่น', 'เต็ม', 'โรง', 'เรียน', 'ลูก', 'สาว', 'ดี', 'งด', 'แถว', 'เวลา', 'เรียน', 'ห้อง', 'แอร์', 'ระดับ', 'นึง', 'แถม', 'โรง', 'เรียน', 'ป้าย', 'งด', 'เรียน', 'เล่น', 'กลาง', 'แจ้ง']",5,1
ทุกอย่างเริ่มต้นที่ตัวเราเอง แต่กรณีนี้ ทางรัฐและประชาชนต้องช่วยกัน ปรับปรุงขนส่งสาธารณ ผลักดันให้คนใช้รถประจำทาง ลดการใช้รถส่วนบุคคล,"['ตัว', 'กรณี', 'รัฐ', 'ประชาชน', 'ปรับปรุง', 'ขนส่ง', 'คน', 'รถ', 'ประจำ', 'ลด', 'รถ']",2,1
เห็นด้วยกับคุณหมอคะ และขอบคุณคุณหมอมากๆที่เป็นตัวแทนเสียงประชาชนให้พวกเรา หน้ากากไม่สะดวกจริงๆค่ะทางปฏิบัติ จากการทดลองใส่เองและเดินไปส่งลูก10นาทีตอนเช้า อึดอัดมาก หน้ากากไม่ใช่ทางแก้ปัญหาที่ดีเลยค่ะ มันคือทางรอดสุดท้าย และหน้ากากดีๆ120บาท ใช้ได้5-6วันต้องทิ้งแล้วค่ะ ต้นทุนตกวันละ20.-บาท เพิ่มขยะอีกด้วย,"['หมอ', 'ขอบคุณ', 'หมอ', 'ตัว', 'แทน', 'เสียง', 'ประชาชน', 'หน้ากาก', 'สะดวก', 'ใส่', 'เดิน', 'ลูก', 'นาที', 'ตอน', 'เช้า', 'อึดอัด', 'หน้า', 'กาก', 'แก้', 'ปัญหา', 'ดี', 'รอด', 'สุดท้าย', 'หน้ากาก', 'ดี', 'บาท', 'ทิ้ง', 'ต้น', 'ทุน', 'บาท', 'ขยะ']",3,1
เห็นด้วยค่ะ สถานการณ์ฝุ่นที่เกิดขึ้น ยังมีคนถามว่าตื่นตูมเกินไปหรือเปล่า อะไรที่คนมองไม่เห็นนี่มันทำให้คนเชื่อยากจริงๆ แต่คนที่มีหน้าที่สั่งการที่มีความรู้จริงๆ กลับไม่สามารถทำให้ประชาชนตระหนักรู้ถึงอันตราย ตรงกันข้ามกลับบอกว่าไม่วิกฤตจนประชาชนยิ่งนอนใจ ที่สุดแล้วยิ่งไม่มีการกำหนดมาตรการแก้ปัญหาที่ชัดเจนที่เหมาะสมทั้งในระยะสั้นและในระยะยาว (หรือมีแล้วแต่เขาไม่บอกเรา? รอฟังอยู่อย่างตั้งใจ)ปล. จนป่านนี้หาซื้อหน้ากาก N95 ยังไม่ได้เลย ต้องใช้วิธีอยู่แต่ในบ้าน ในอาคารที่ไม่ได้เปิดระบายลมมาหลายอาทิตย์แล้ว โรงเรียนลูกรับมือสถานการณ์นี้ไม่เหมือนกัน ของคนโตผู้ปกครองต้องเรียกร้องเรื่องใส่หน้ากาก เรื่องเข้าแถวในอาคารในห้อง ดีที่ผู้อำนวยการฟังผู้ปกครอง แต่ก็ยังขาดการรณรงค์ภายในโรงเรียนให้เด็กตระหนักรู้ถึงอันตราย เด็กก็ยังไม่ค่อยใส่หน้ากาก คนใส่กลายเป็นประหลาด และก็ยังมีแข่งกีฬาตอนเย็นกันอยู่ดี ส่วนโรงเรียนของลูกอีกคนอยู่ติดถนนใหญ่ ครูให้เข้าเล่นในอาคาร แต่ก็ยังเข้าแถวในอาคารแต่ไม่ใช่ในห้องปิด ดีที่เข้าแถวไม่นาน ไม่เกิน 5 นาที เด็กส่วนใหญ่ก็ไม่ใส่หน้ากากเช่นกัน ส่วนตอนทานข้าวก็ย้ายไปทานในห้องว่างที่มีอยู่แทน,"['สถานการณ์', 'ฝุ่น', 'คน', 'ถาม', 'ตื่น', 'ตูม', 'เปล่า', 'คน', 'ทำ', 'คน', 'คน', 'หน้าที่', 'สั่งการ', 'รู้', 'ทำ', 'ประชาชน', 'ตระหนัก', 'รู้', 'อันตราย', 'วิกฤต', 'ประชาชน', 'มาตรการ', 'แก้', 'ปัญหา', 'ชัดเจน', 'รอ', 'ฟัง', 'ตั้งใจ', 'ปล', 'ป่าน', 'หา', 'ซื้อ', 'หน้ากาก', 'วิธี', 'บ้าน', 'อาคาร', 'ระบาย', 'ลม', 'อาทิตย์', 'โรง', 'เรียน', 'ลูก', 'รับมือ', 'สถานการณ์', 'เหมือน', 'คน', 'ปกครอง', 'เรื่อง', 'ใส่', 'หน้า', 'กาก', 'เรื่อง', 'แถว', 'อาคาร', 'ห้อง', 'ดี', 'ฟัง', 'ปกครอง', 'รณรงค์', 'โรง', 'เรียน', 'เด็ก', 'ตระหนัก', 'รู้', 'อันตราย', 'เด็ก', 'ใส่', 'หน้ากาก', 'คน', 'ใส่', 'กลาย', 'ประหลาด', 'ตอน', 'เย็น', 'อยู่ดี', 'โรง', 'เรียน', 'ลูก', 'คน', 'ติด', 'ถนน', 'ครู', 'เล่น', 'อาคาร', 'แถว', 'อาคาร', 'ห้อง', 'ดี', 'แถว', 'นาที', 'เด็ก', 'ใส่', 'หน้า', 'กาก', 'ตอน', 'ข้าว', 'ย้าย', 'ห้อง', 'ว่าง', 'แทน']",1,1
จริงๆคนตื่นตัวน้อยมากค่ะคุณหมอ คนมองไม่เห็นภาพรวมและการช่วยกันป้องกันและลดมลภาวะกัน เอาง่ายๆนะคะ นี่อยู่ใจกลางเมืองเลย คนใส่หน้ากาก 1ต่อ20 คนได้หมายถึงคนที่เราขับรถผ่านแล้วเค้าเดินอยู่ตามถนน เป็นคนใช้รถสาธารณะต่างๆ แม้แต่ในโรงเรียนลูกก็ใส่หน้ากากกันน้อยมากค่ะ ร้ายกว่านั้น คือ ผู้ปกครองมาส่งลูกยังไม่ไปไหนป้อนข้าวอะไรอยู่ก็สตาร์ทเครื่องกันหมด ไม่ต้องฝุ่นหรอกค่ะแค่ลงมาจากรถก็ฟุ้งไปด้วยกลิ่นท่าไอเสีย พอดีบริเวณโรงเรียนแคบมากด้วย  มีหนักหน่อยก็ให้ลูกวิ่งเล่นหลังที่จอดรถ(ใก้ลรถต่างๆที่จอดสตาร์มอยู่) เล่นไปป้อนข้าวไป ตอนนี้ โรงเรียนเองก็อนุญาตให้นักเรียนมาเล่นนอกอาคารได้แล้ว ทั้งๆที่โรงเรียนไม่มีคู่มือตรวจฝุ่น😭😭😭😭😭,"['คน', 'ตื่นตัว', 'หมอ', 'คน', 'ภาพ', 'ป้องกัน', 'ลด', 'มลภาวะ', 'เมือง', 'คน', 'ใส่', 'หน้ากาก', 'คน', 'คน', 'ขับ', 'รถ', 'เค้า', 'เดิน', 'ถนน', 'คน', 'รถ', 'สาธารณะ', 'โรง', 'เรียน', 'ลูก', 'ใส่', 'หน้า', 'กาก', 'ร้าย', 'ปกครอง', 'ลูก', 'ข้าว', 'สตาร์ท', 'เครื่อง', 'ฝุ่น', 'หรอก', 'รถ', 'กลิ่น', 'ไอ', 'บริเวณ', 'โรง', 'เรียน', 'ลูก', 'วิ่ง', 'เล่น', 'จอด', 'รถ', 'จอด', 'เล่น', 'ข้าว', 'ตอน', 'โรง', 'เรียน', 'อนุญาต', 'เรียน', 'เล่น', 'อาคาร', 'ทั้งๆที่', 'โรง', 'เรียน', 'ฝุ่น']",2,1
ประเทศไทยไม่แกร่งจริงอยู่ไม่ได้ค่ะ ต้องพึ่งตัวเองหวังพึ่งใครไม่ได้จริงๆ ทุกวันนี้ทำทุกอย่างค่ะทั้งซื้อเครื่องฟอกอากาศในบ้านในรถ หน้ากากพ่อแม่ลูก สเปรย์บล๊อกฝุ่น นี่ว่าจะซื้อเครื่องวัดฝุ่นอีกค่ะ ลูกกับสามีก็คั้นน้ำบล๊อกโคลี่ให้ดื่มทุกวัน บางทีก็คิดว่าตัวเองเว่อไปมั้ย แต่ทำแล้วสบายใจก็ทำค่ะ #เบื่อประเทศไทย,"['ประเทศไทย', 'ตัว', 'หวัง', 'ทำ', 'ซื้อ', 'เครื่อง', 'ฟอก', 'อากาศ', 'บ้าน', 'รถ', 'หน้ากาก', 'แม่', 'ลูก', 'ฝุ่น', 'ซื้อ', 'เครื่อง', 'วัด', 'ฝุ่น', 'ลูก', 'น้ำ', 'ตัว', 'ทำ', 'ทำ']",1,1
นานๆจะเห็นหมอขึ้น ดูเหมือนนายกจะออกมาตราการ มา 9ข้อ แล้วนะครับ แต่อ่านๆดูบางข้อก็รู้สึกมันเป็นเรื่องที่ภาวะปกติก็ต้องทำอยู่แล้วรึเปล่า,"['หมอ', 'ดู', 'เหมือน', 'นายก', 'มาตราการ', 'ข้อ', 'อ่าน', 'ดู', 'ข้อ', 'รู้สึก', 'เรื่อง', 'ภาวะ', 'ปกติ', 'ทำ', 'อยู่แล้ว']",0,-1
เชียงใหม่ ช่วงปลายกุมภา  ถึงกลางเมษาจะเลวร้ายมา 3 ปี  มีปีนึงที่รณรงค์   ช่วยกันเต็มที่ ลดลงได้บ้าง  แต่พอลดลง  บนป่าก็มาเผาเหมือนเดิม  เศร้าใจมากค่ะ,"['เชียงใหม่', 'กลาง', 'ปี', 'ปี', 'นึง', 'รณรงค์', 'ลด', 'ลด', 'ป่า', 'เผา', 'เหมือน', 'เดิม', 'เศร้าใจ']",0,-1
ทุกวันนี้ลูกก็ยังได้เข้าแถวหน้าเสาธง ห้องเรียนยังเปิดประตูหน้าต่าง ไปค่ายลูกเสือทำกิจกรรมกลางแจ้งเฉย ชีวิตคนไทยมันก็เป็นแบบนี้แหละ ต้องดูแลตัวเองจริงๆ ถ้าหวังพึ่งพารัฐก็เครียดไปเปล่าๆ แต่ก็ขอบคุณหมอนะที่เขียนบทความแสดงออกถึงความห่วงใย,"['ลูก', 'แถว', 'หน้า', 'เสา', 'ธง', 'ห้อง', 'เรียน', 'หน้าต่าง', 'ทำ', 'กิจกรรม', 'กลาง', 'แจ้ง', 'ชีวิต', 'คน', 'ไทย', 'ดูแล', 'ตัว', 'หวัง', 'พึ่งพา', 'รัฐ', 'เครียด', 'เปล่า', 'ขอบคุณ', 'หมอ', 'บทความ']",1,1
เครียดที่ดูผู้ใหญ่ท่านนึงออกมาพูดว่า จะให้ขรก. นําร่องด้วยการไม่ให้ขับรถมาทํางาน โอ้ยยยย ท่านขา เหมือนมันไม่ใช่ต้นเหตุ,"['เครียด', 'ดู', 'ท่าน', 'นึง', 'ขับ', 'รถ', 'งาน', 'ท่าน', 'เหมือน', 'ต้น']",2,1
เริ่มจากคนเราๆก่อนนี่แหล่ะค่ะ เห็นบ่อยมาก ที่ชอบจอดรถแล้วสตาร์ทเครื่องเอาไว้ ทั้งในห้างสรรพสินค้าและ สถานที่ต่างๆ ป้ายก็มีบอกไว้,"['คน', 'ชอบ', 'จอด', 'รถ', 'สตาร์ท', 'เครื่อง', 'ห้าง', 'สถานที่', 'ป้าย']",2,1
ตื่นเช้ามาปกติ แต่พอขี่มอไซถึงที่ทำงาน น้ำมูกไหลลงคอเป็นก๊อกแตก เสมหะ น้ำมูกไหลทั้งวันพอทำงานถึงเย็นหายปกติ แต่ตอนเย็นกลับบ้านขี่มอไซถึงบ้านน้ำมูกมันก็กลับมา ลูปนรก n95 ก็ต้านไม่ไหว,"['ตื่น', 'เช้า', 'ปกติ', 'ทำ', 'งาน', 'น้ำ', 'มูก', 'ไหล', 'คอ', 'น้ำ', 'มูก', 'ไหล', 'ทำ', 'งาน', 'เย็น', 'หาย', 'ปกติ', 'ตอน', 'เย็น', 'บ้าน', 'มูก', 'ไหว']",1,1
ขอบคุณคุณหมอมากๆค่ะที่เป็นกระบอกเสียง(จากข้างในใจ)ให้พวกเรา อยู่จ.ระยอง สถานการณ์ก็เลวร้ายมากเช่นกันค่ะ ขอแชร์ต่อนะคะ,"['ขอบคุณ', 'หมอ', 'กระบอกเสียง', 'ใจ', 'สถานการณ์', 'แชร์']",3,1
หมอมุ่งที่เด็ก เรามองว่าคนขับรถลองบอกตัวเอง ว่าฉันไม่ขับรถไปทำงาน 1 วันต่อสัปดาห์ เพื่อช่วยลดปัญหามลพิษ ทำได้ไหม ไม่ต้องรอให้คนอื่นทำ เราลงมือทำเองเลย คนละเล็กละน้อย... ถ้าให้รบ. สั่ง รบ. ก็โดนด่าตลอด ..ไม่ต้องรอใครสั่ง ไม่ต้องชี้หน้าว่าแกทำสิ เราลงมือทำเองก่อนเลย,"['หมอ', 'เด็ก', 'คน', 'ขับ', 'รถ', 'ลอง', 'ตัว', 'ขับ', 'รถ', 'ทำ', 'งาน', 'ลด', 'ปัญหา', 'มลพิษ', 'ทำ', 'ไหม', 'รอ', 'คน', 'ทำ', 'ทำ', 'คน', 'สั่ง', 'โดน', 'ด่า', 'รอ', 'สั่ง', 'หน้า', 'ทำ', 'สิ', 'ทำ']",1,1
เอาจริงเวลาเดินตามท้องถนนเห็นคนใส่ N95 จะมีสักกี่คนที่ใส่ถูกด้วยค่ะ เห็นใส่แล้วดูหลวมๆ กันเป็นแถวเลยค่ะ,"['เดิน', 'ท้อง', 'ถนน', 'คน', 'ใส่', 'สัก', 'กี่', 'คน', 'ใส่', 'ใส่', 'ดู', 'แถว']",6,1
ท่าทีของผู้ใหญ่ในบ้านเมืองยังดูอายที่จะประกาศว่าจริงๆมันวิกฤตแล้ว ยังคงพยายามสร้างภาพ ให้ข่าวว่ามันไม่ได้อันตรายขนาดนั้น ตัวเลข PM2.5 ของหน่วยงานรัฐ น้อยกว่าของเว็ปไซต์ที่เป็นที่ยอมรับในระดับสากลเยอะ 😓😓😓,"['บ้านเมือง', 'ดู', 'อาย', 'ประกาศ', 'วิกฤต', 'สร้าง', 'ภาพ', 'ข่าว', 'อันตราย', 'ขนาด', 'ตัว', 'หน่วย', 'งาน', 'รัฐ', 'ระดับ', 'สากล']",0,-1
อันนี้ไม่ค่อยเห็นด้วยกับการเสนอแก้ปัญหาของหมอนะครับเรื่องหยุดเรียน...หมอไม่ได้คิดหรอว่าการที่ประกาศหยุดเรียนในเครือ กทม. เด็กจะยิ่งอยู่บนพื้นที่มลพิษมากขึ้น  จากฝุ่นควันแวดล้อมแถวบ้าน หรืออาจจะต้องติดตามพ่อแม่ไปประกอบอาชีพริมถนนข้างทาง  ฯลฯ  หมออยู่ในสังคมหอคอย หมอไม่มีทางเข้าใจได้หรอก ว่าสำหรับผู้ปกครองส่วนใหญ่ของชนชั้นล่าง โรงเรียนคือสถานที่ปลอดภัยที่สุดเรื่องรถเมล์ เปลี่ยนรถทั้งระบบแก้ไม่ทันใน 4 ปีแน่ๆ แต่อยากให้เริ่มแก้แต่สิ่งที่ทำได้เลย คือ มาตรการระบบขนส่งสาธารณะ บัสเลน ควรมีเป็นมาตรฐานแท้ๆ ในเส้นทางหลัก ห้าม วิ่ง ห้ามจอด ลงโทษตามหลักฐานบันทึกด้วยกล้องหน้ารถ และป้ายหยุดรถ พอระบบขนส่งดี สะดวก สบาย ไม่ติดขัด คนจะหันมาใช้มากขึ้นเพราะไม่ต้องรับภาระน้ำมัน และดูแลรถ,"['เสนอ', 'แก้', 'ปัญหา', 'หมอ', 'เรื่อง', 'หยุด', 'เรียน', 'หมอ', 'หรอ', 'ประกาศ', 'หยุด', 'เรียน', 'กทม', 'เด็ก', 'พื้นที่', 'มลพิษ', 'ฝุ่น', 'ควัน', 'แวดล้อม', 'แถว', 'บ้าน', 'พ่อแม่', 'ริม', 'ถนน', 'หมอ', 'หมอ', 'หรอก', 'สำหรับ', 'ปกครอง', 'ชั้น', 'โรง', 'เรียน', 'สถานที่', 'ปลอด', 'ภัย', 'เรื่อง', 'รถ', 'เมล์', 'รถ', 'ระบบ', 'แก้', 'ปี', 'แน่', 'แก้', 'ทำ', 'มาตรการ', 'ระบบ', 'ขนส่ง', 'สาธารณะ', 'มาตรฐาน', 'ห้าม', 'วิ่ง', 'ห้าม', 'จอด', 'โทษ', 'หน้า', 'รถ', 'ป้าย', 'หยุด', 'รถ', 'ระบบ', 'ขนส่ง', 'ดี', 'สะดวก', 'คน', 'หัน', 'ภาระ', 'น้ำมัน', 'ดูแล', 'รถ']",2,1
ออกไปข้างนอก ไม่เห็นมีใครใส่แมสN95เลย ทำเอาเรากับลูกเป็นแกะดำ แต่เราไม่ได้สนใจตรงนั้น #กลัวฝุ่น pm 2.5 มากกว่า กลัวมากกับฝุ่นที่เล็กจนมองไม่เห็น แอทมิทคู่กับลูกไปแล้วรอบนึงค่ะ กำลังจะได้แอทมิทอีกรอบเพราะ อาการของเรากับลูกตอนนี้ แย่อีกแล้วค่ะ เครื่องฟอกอากาศในบ้านเครื่องละ 2-3 หมื่นบาทอัพ ฟอกอากาศในรถดีดี 5 พันอัพ แต่จ่ายประกันสุขภาพ ปีละ เกือบแสนก็แย่แล้วค่ะ หมุนไม่ทัน 😓. ทำได้แค่ สวมหน้ากาก และ ขอให้รัฐบาลให้ความสำคัญเรื่องนี้แบบเร่งด่วน 😿😿 สงสารเด็กๆทั่วประเทศเลย    ลูกเรา เราเห็นอันตรายตั้งแต่รัฐฯไม่ตื่นตัวจนทำให้หลายคนเข้าใจผิดว่ามันไม่อันตราย  แล้วกับเด็กคนอื่นๆที่พ่อแม่หลายท่านยังมองเป็นเรื่องไม่อันตราย ไม่สวมแมส ใช้ชีวิตปกติ.     คือใช่ค่ะ มันไม่ใช่ฝุ่นที่ดมแล้วล้มตึงเลยขณะนั้น หรือ 3 วัน 7 วันในผู้ที่แข็งแรง แต่อนาคตล้มแน่ค่ะ ถ้าฝุ่นนี้ยังอยู่     และ คนที่ไวต่อภูมิแพ้แหละค่ะที่จะเห็นอันตราย    ตอนนี้บ้านอื่นเป็นยังไงไม่รู้ แต่บ้านนี้ลูกป่วย และตัวเราเองให้ลูกหยุดเรียนไปเลยค่ะ ชั่วคราว เพราะอนุบาล1 พอที่จะคุยๆกับคุณครูได้ ...,"['ใส่', 'แมส', 'ทำ', 'ลูก', 'สนใจ', 'กลัว', 'ฝุ่น', 'กลัว', 'ฝุ่น', 'ลูก', 'รอบ', 'นึง', 'รอบ', 'อาการ', 'ลูก', 'ตอน', 'แย่', 'เครื่อง', 'ฟอก', 'อากาศ', 'บ้าน', 'เครื่อง', 'บาท', 'ฟอก', 'อากาศ', 'รถ', 'ดี', 'ดี', 'จ่าย', 'สุขภาพ', 'ปี', 'แสน', 'แย่', 'ทำ', 'สวม', 'หน้ากาก', 'รัฐบาล', 'เรื่อง', 'เร่งด่วน', 'สงสาร', 'เด็ก', 'ประเทศ', 'ลูก', 'อันตราย', 'ตื่นตัว', 'ทำ', 'คน', 'อันตราย', 'เด็ก', 'คน', 'พ่อแม่', 'ท่าน', 'เรื่อง', 'อันตราย', 'ชีวิต', 'ปกติ', 'ฝุ่น', 'อนาคต', 'แน่', 'ฝุ่น', 'คน', 'ภูมิแพ้', 'อันตราย', 'ตอน', 'บ้าน', 'รู้', 'บ้าน', 'ลูก', 'ป่วย', 'ตัว', 'ลูก', 'หยุด', 'เรียน', 'ชั่วคราว', 'อนุบาล', 'คุย', 'ครู']",1,1
เรื่องรถน่ะทำไม่ได้หรอก เพราะต้องผจญกับวลีเคื่องรังแกคนจนอีกเยอะ อค่ไม่ให้นั่งกระบะท้ายยังดราม่ากัน นี่บังคับไม่ให้ใช้รถเก่าคืดดูเเาละกัน,"['เรื่อง', 'รถ', 'ทำ', 'หรอก', 'คน', 'นั่ง', 'บังคับ', 'รถ', 'เก่า', 'ดู']",1,1
This shows everything about Thailand,[],0,-1
ขอบคุณ​คุณหมอค่ะ​ รัฐบาลไม่ประกาศ​สิ่งที่เป็นรูปธรรม​อะไรสักอย่าง​ มีแต่เราที่ต้องป้องกันตัว​เอง​ เฉยแบบนี้​ ก็ไม่มีการตื่นตัว​ว่ามันอันตรายแล้ว​ รู้ทั้ง​รู้​แต่กลับ​เฉย,"['ขอบคุณ', 'หมอ', 'รัฐบาล', 'ประกาศ', 'รูปธรรม', 'สัก', 'ป้องกัน', 'ตัว', 'ตื่นตัว', 'อันตราย', 'รู้', 'รู้']",3,1
เห็นด้วยเป็นอย่างยิ่ง มีแต่พูดกันออกสื่อไม่เคยลงมาดูพื้นที่จริงๆ ว่าปัญหามันคืออะไร มาดูถนนกาญจนฯ จ.สมุทรสาครสิคะ ว่าปัญหามันคืออะไร ไม่ใช่นั่งเทียนพูดๆๆๆๆๆ ไป เหนื่อยใจค่ะ ย้อนกลับมาแก้ไขและป้องกันลูกๆเรา ด้วยตัวเราเองค่ะ -_-||,"['ดู', 'พื้นที่', 'ปัญหา', 'สิ', 'ปัญหา', 'นั่ง', 'ป้องกัน', 'ลูก', 'ตัว']",0,-1
